Size,Width,Height
#0000-160, 1/16, 1/32
#000-120, 5/64, 1/32
#00-90, 5/64, 3/64
#00-96, 5/64, 3/64
#0-80, 5/32, 3/64
#1-64, 5/32, 3/64
#1-72, 5/32, 3/64
#2-56, 3/16, 1/16
#2-64, 3/16, 1/16
#3-48, 3/16, 1/16
#3-56, 3/16, 1/16
#4-36, 1/4, 3/32
#4-40, 1/4, 3/32
#4-48, 1/4, 3/32
#5-40, 5/16, 7/64
#5-44, 5/16, 7/64
#6-32, 5/16, 7/64
#6-40, 5/16, 7/64
#8-32, 11/32, 1/8
#8-36, 11/32, 1/8
#10-24, 3/8, 1/8
#10-32, 3/8, 1/8
#12-24, 7/16, 5/32
#12-28, 7/16, 5/32
1/4-20, 7/16, 7/32
1/4-28, 7/16, 7/32
5/16-18, 1/2, 17/64
5/16-24, 1/2, 17/64
3/8-16, 9/16, 21/64
3/8-24, 9/16, 21/64
7/16-14, 11/16, 3/8
7/16-20, 11/16, 3/8
1/2-13, 3/4, 7/16
1/2-20, 3/4, 7/16
9/16-12, 7/8, 31/64
9/16-18, 7/8, 31/64
5/8-11, 15/16, 35/64
5/8-18, 15/16, 35/64
3/4-10, 1 1/8, 41/64
3/4-16, 1 1/8, 41/64
7/8-14, 1 5/16, 3/4
7/8-9, 1 5/16, 3/4
1-8, 1 1/2, 55/64
1-12, 1 1/2, 55/64
1-14, 1 1/2, 55/64
1 1/8-7, 1 11/16, 31/32
1 1/8-12, 1 11/16, 31/32
1 1/4-7, 1 7/8, 1 1/16
1 1/4-12, 1 7/8, 1 1/16
1 3/8-12, 2 1/16, 1 11/64
1 3/8-6, 2 1/16, 1 11/64
1 1/2-6, 2 1/4, 1 9/32
1 1/2-12, 2 1/4, 1 9/32
1 5/8-5 1/2, 2 7/16, 1 25/64
1 5/8-12, 2 7/16, 1 25/64
1 3/4-5, 2 5/8, 1 1/2
1 3/4-12, 2 5/8, 1 1/2
1 7/8-5, 2 13/16, 1 39/64
1 7/8-12, 2 13/16, 1 39/64
2-4 1/2, 3, 1 23/32
2-12, 3, 1 23/32
2 1/4-4 1/2, 3 3/8, 1 15/16
2 1/4-12, 3 3/8, 1 15/16
2 1/2-4, 3 3/4, 2 5/32
2 1/2-12, 3 3/4, 2 5/32
2 3/4-4, 4 1/8, 2 3/8
3-4, 4 1/2, 2 19/32
3-12, 4 1/2, 2 19/32
3 1/2-4, 5 3/8, 3 1/2
